비고,시군구,운영기관,이용가능시간,이용자 제한,주소,지역,충전기타입,충전소,충전소별 충전기연번
"","동구","대구환경공단","24시간","","대구광역시 동구 팔공로 227, 지하1층(동구 봉무동 1560-1)","대구광역시","DC차데모+AC3상+DC콤보","DTC섬유박물관",1
"","달성군","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달성군 가창면 가창로 1100가창면행정복지센터(82 가창면사무소)","대구광역시","AC완속","가창면행정복지센터",1
"","달서구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 달서구 감삼북길 119-10감삼동행정복지센터(136-2 감삼동행정복지센터)","대구광역시","AC완속","감삼동행정복지센터",1
"","동구","대구환경공단","24시간","","대구광역시 동구 갓바위로 227(동구 진인동 123-74)","대구광역시","AC완속","갓바위공영2주차장",1
"","동구","대구환경공단","24시간","","대구광역시 동구 갓바위로 227(동구 진인동 123-74)","대구광역시","AC완속","갓바위공영2주차장",2
"","동구","대구환경공단","24시간","","대구광역시 동구 갓바위로 227(동구 진인동 123-74)","대구광역시","AC완속","갓바위공영2주차장",3
"","동구","대구환경공단","24시간","","대구광역시 동구 진인동","대구광역시","DC차데모+AC3상+DC콤보","갓바위공영5주차장",1
"","북구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 북구 검단로41길 12검단동행정복지센터(검단동 행정복지센터)","대구광역시","AC완속","검단동행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 수성구 달구벌대로 3091고산2동행정복지센터(고산2동 행정복지센터)","대구광역시","AC완속","고산2동행정복지센터",1
"","수성구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 수성구 고산로 152고산3동행정복지센터(고산3동 행정복지센터)","대구광역시","AC완속","고산3동행정복지센터",1
"충전 1시간 무료, 주차요금 60%감면","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 관음중앙로 80(입구 좌측)(북구 관음동 448-1 (입구 좌측))","대구광역시","DC차데모+AC3상+DC콤보","관음공영주차장",1
"","북구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 북구 관음동로 125관음동행정복지센터(관음동 행정복지센터)","대구광역시","AC완속","관음동행정복지센터",1
"","북구","대구환경공단","24시간 이용가능","","대구광역시 북구 구암서로32 (건물 앞)","대구광역시","DC차데모+AC3상+DC콤보","구암동 행정복지센터",1
"","중구","대구환경공단","24시간","","대구광역시 중구 동인동2가","대구광역시","AC완속","국채보상운동기념공원주차장",1
"","중구","대구환경공단","24시간","","대구광역시 중구 동인동2가","대구광역시","AC완속","국채보상운동기념공원주차장",2
"","중구","대구환경공단","24시간","","대구광역시 중구 동인동2가","대구광역시","AC완속","국채보상운동기념공원주차장",3
"","중구","대구환경공단","24시간 이용가능","시설 상황에 따라 이용이 제한될 수 있음","대구광역시 중구 남산로1길 42남산4동행정복지센터(2508-1 남산4동주민센터)","대구광역시","AC완속","남산4동행정복지센터",1
